Date,AAPL,D,JNJ,JPM,KO,NVDA,PEP,PG,TSLA,WMT
2023-07-19,193.1659698486328,46.94864273071289,149.06460571289062,147.8698272705078,58.02974319458008,47.04804611206055,174.39108276367188,143.03797912597656,291.260009765625,50.301265716552734
2023-07-20,191.2154998779297,47.97848892211914,158.11703491210938,149.69122314453125,58.735816955566406,45.492000579833984,177.23739624023438,144.1977996826172,262.8999938964844,51.231685638427734
2023-07-21,190.0373077392578,48.58375549316406,159.8166961669922,148.54087829589844,58.78288650512695,44.28174591064453,178.04258728027344,146.4676513671875,260.0199890136719,51.52122497558594
2023-07-24,190.83926391601562,48.68312454223633,160.65248107910156,151.4647216796875,58.80171585083008,44.58456802368164,178.75413513183594,146.9369659423828,269.05999755859375,51.82377243041992
2023-07-25,191.7006378173828,48.89090347290039,161.8826141357422,150.33352661132812,58.6040153503418,45.650909423828125,179.16612243652344,147.28175354003906,265.2799987792969,51.7814826965332
2023-07-26,192.57191467285156,49.18901824951172,162.19248962402344,151.23463439941406,59.35715866088867,45.42404556274414,179.3908233642578,147.4350128173828,264.3500061035156,51.966915130615234
2023-07-27,191.3046112060547,48.2043342590332,163.10337829589844,149.56661987304688,58.78288650512695,45.87177658081055,176.5164337158203,145.6822967529297,255.7100067138672,51.77823257446289
2023-07-28,193.8887481689453,48.330814361572266,163.84523010253906,150.4197998046875,58.8205451965332,46.72124481201172,178.18301391601562,149.80059814453125,266.44000244140625,52.022220611572266
2023-07-31,194.50259399414062,48.375972747802734,157.31884765625,151.42637634277344,58.302757263183594,46.700260162353516,175.51463317871094,149.69528198242188,267.42999267578125,52.00595474243164
2023-08-01,193.67091369628906,47.24675750732422,158.59596252441406,150.67861938476562,58.15212631225586,46.478397369384766,174.9154052734375,149.64736938476562,261.07000732421875,51.76195526123047
2023-08-02,190.67095947265625,47.282894134521484,159.5537872314453,148.9722442626953,58.33100128173828,44.24177551269531,176.31045532226562,149.97299194335938,254.11000061035156,51.79774856567383
2023-08-03,189.27493286132812,45.837486267089844,160.2393035888672,149.88296508789062,58.02974319458008,44.48762130737305,175.19627380371094,150.36569213867188,259.32000732421875,51.810760498046875
2023-08-04,180.18592834472656,44.4553108215332,158.73680114746094,149.56661987304688,57.15420913696289,44.65251922607422,172.83688354492188,148.71836853027344,253.86000061035156,51.5114631652832
2023-08-07,177.0770721435547,44.39207458496094,162.54934692382812,150.2760009765625,57.60609817504883,45.389068603515625,174.98092651367188,150.2890625,251.4499969482422,52.210906982421875
2023-08-08,178.01763916015625,44.5095100402832,162.62445068359375,149.43240356445312,57.35191345214844,44.63653564453125,172.68707275390625,150.45187377929688,249.6999969482422,52.26295471191406
2023-08-09,176.423583984375,44.88893127441406,162.52117919921875,147.4288330078125,57.48371887207031,42.52783203125,172.25637817382812,150.26031494140625,242.19000244140625,52.34754180908203
2023-08-10,176.20578002929688,45.06057357788086,161.676025390625,147.20835876464844,57.35191345214844,42.361934661865234,172.04104614257812,149.51329040527344,245.33999633789062,52.3214225769043
2023-08-11,176.2652587890625,44.7985954284668,163.25364685058594,148.06155395507812,57.5872688293457,40.82987594604492,172.3125762939453,150.38485717773438,242.64999389648438,52.62831497192383
2023-08-14,177.92095947265625,44.256568908691406,162.86863708496094,148.36830139160156,57.31426239013672,43.7260856628418,171.9193115234375,149.206787109375,239.75999450683594,52.23653793334961
2023-08-15,175.92816162109375,43.181549072265625,162.39910888671875,144.5912628173828,56.92826461791992,43.91297912597656,169.79396057128906,148.24905395507812,232.9600067138672,51.96883010864258
